province,city,river,basin,section,monitor_time,quality,water_temp,ph,ph_l,dissolvedoxygen,dissolvedoxygen_l,codmn,codmn_l,nh3-n,nh3-n_l,tp,tn,conductivity,turbidity,chlorophyll,algal_density,section_status
浙江省,衢州市,常山港,浙闽片河流,富足山,2024-11-23 04:00:00,Ⅰ,16.85,7.8,-,8.255,-,1.579,-,0.025,-,0.0148,0.758,276.64,5.71,,,正常
广东省,肇庆市,西江,珠江流域,封开城上,2024-11-23 04:00:00,Ⅰ,23.483,8.03,-,7.991,-,0.638,-,0.025,-,0.02,2.073,329.524,6.186,,,正常
福建省,三明市,金溪,浙闽片河流,将乐万全,2024-11-23 04:00:00,Ⅱ,21.392,6.952,-,5.965,-,1.684,-,0.025,-,0.013,0.711,77.381,1.259,,,正常
浙江省,湖州市,西苕溪,太湖流域,小梅口,2024-11-23 04:00:00,Ⅱ,14.69,8,-,9.898,-,3.762,-,0.1232,-,0.0854,0.771,320.03,191.81,,,正常
山东省,滨州市,漳卫新河,海河流域,小泊头桥,2024-11-23 04:00:00,Ⅱ,13.173,7.805,-,8.475,-,3.232,-,0.0416,-,0.0508,7.993,1731.1,13.782,,,正常
江苏省,无锡市,长江,长江流域,小湾,2024-11-23 04:00:00,Ⅱ,19.001,7.83,-,8.924,-,1.696,-,0.025,-,0.055,1.593,369.351,42.859,,,正常
广东省,深圳市,赤石河,珠江流域,小漠桥,2024-11-23 04:00:00,Ⅱ,24.166,8.46,-,8.387,-,2.329,-,0.025,-,0.02,1.312,36186.2,6.832,,,正常
山东省,青岛市,,淮河流域,崂山水库中心,2024-11-23 04:00:00,Ⅱ,14.399,7.2584,-,8.088,-,2.714,-,0.025,-,0.021,1.886,238.7873,6.7841,0.01763,2306000,正常
江苏省,盐城市,川东港,淮河流域,川东闸,2024-11-23 04:00:00,Ⅲ,14.6,8.119,-,8.108,-,4.006,-,0.3465,-,0.1566,3.522,2192.35,12.19,,,正常
湖北省,黄冈市,巴河,长江流域,巴河镇河口,2024-11-23 04:00:00,Ⅲ,14.249,7.074,-,7.055,-,4.984,-,0.522,-,0.142,2.466,252.432,74.775,,,正常
广东省,佛山市,平洲水道,珠江流域,平洲,2024-11-23 04:00:00,Ⅳ,22.89,7.22,-,3.763,-,1.452,-,0.346,-,0.088,3.601,314.967,17.624,,,正常
广东省,河源市,定南水,珠江流域,庙咀里(定南水站),2024-11-23 04:00:00,Ⅱ,20.067,6.85,-,6.079,-,1.175,-,0.291,-,0.022,1.578,308.727,14.932,,,正常
山西省,晋城市,沁河,黄河流域,张峰水库出口,2024-11-23 04:00:00,Ⅱ,11.5121,8.1841,-,9.7382,-,2.0767,-,0.025,-,0.00733,1.9842,495.0327,8.8428,,,正常
山东省,潍坊市,弥河,淮河流域,张建桥,2024-11-23 04:00:00,Ⅲ,14.204,8.163,-,10.735,-,4.4192,-,0.0267,-,0.0579,17.3,1753.126,9.178,,,正常
宁夏回族自治区,固原市,泾河,黄河流域,弹筝峡,2024-11-23 04:00:00,-3,5.165,8.42,-,12.28,-,,-,0.043,-,0.015,4.519,713.9,7.006,,,维护
湖南省,衡阳市,湘江,长江流域,归阳镇,2024-11-23 04:00:00,Ⅱ,20.46,7.674,-,7.745,-,0.872,-,0.044,-,0.0313,1.284,173.03,7.64,,,正常
四川省,乐山市,岷江,长江流域,悦来渡口,2024-11-23 04:00:00,-3,17.23,7.915,-,9.175,-,1.227,-,,-,0.073,2.448,439.907,11.402,,,维护
广东省,惠州市,东江,珠江流域,惠州汝湖,2024-11-23 04:00:00,Ⅱ,20.404,7.21,-,7.769,-,1.124,-,0.109,-,0.042,1.621,92.724,7.668,,,正常
辽宁省,抚顺市,浑河,辽河流域,戈布桥,2024-11-23 04:00:00,Ⅱ,3.68,7.71,-,12.07,-,1.752,-,0.1811,-,0.0335,4.585,581.58,2.62,,,正常
山东省,东营市,支脉河,淮河流域,支脉河陈桥,2024-11-23 04:00:00,Ⅳ,12.007,8.481,-,15.126,-,7.845,-,0.1051,-,0.1013,4.621,,19.762,,,维护
福建省,南平市,松溪,浙闽片河流,政和西津,2024-11-23 04:00:00,Ⅱ,19.283,7.178,-,7.197,-,1.824,-,0.108,-,0.057,1.498,120.666,25.694,,,正常
福建省,三明市,沙溪,浙闽片河流,斑竹溪渡口,2024-11-23 04:00:00,Ⅱ,21.592,7.255,-,6.089,-,1.04,-,0.157,-,0.056,1.638,273.262,3.005,,,正常
上海市,松江区,园泄泾,太湖流域,斜塘口,2024-11-23 04:00:00,Ⅲ,16.52,7.33,-,7.845,-,4.136,-,0.025,-,0.0656,2.056,658.81,73.71,,,正常
山东省,青岛市,大沽河,淮河流域,斜拉桥,2024-11-23 04:00:00,Ⅲ,12.286,8.123,-,9.241,-,4.636,-,0.0988,-,0.0441,3.389,1114.364,4.016,,,正常
贵州省,黔东南苗族侗族自治州,都柳江,珠江流域,新华,2024-11-23 04:00:00,Ⅰ,16.71,8.356,-,9.656,-,0.508,-,0.025,-,0.005,,184.901,4.329,,,维护
浙江省,湖州市,泗安溪,太湖流域,新塘,2024-11-23 04:00:00,Ⅴ,16.76,7.34,-,2.88,-,3.79,-,1.4614,-,0.0815,4.097,404.5,33.95,,,正常
江苏省,连云港市,淮沭新河,淮河流域,新村桥,2024-11-23 04:00:00,Ⅲ,13.506,7.488,-,5.024,-,4.176,-,0.2343,-,0.1046,3.565,823.81,23.19,,,正常
湖北省,荆州市,四湖总干渠,长江流域,新河村,2024-11-23 04:00:00,Ⅲ,14.127,7.5442,-,7.5328,-,3.7109,-,0.8897,-,0.1168,,502.9798,17.9012,,,维护
江苏省,连云港市,,淮河流域,新浦二桥,2024-11-23 04:00:00,Ⅲ,13.644,7.382,-,5.925,-,3.243,-,0.2638,-,0.0875,1.728,851.185,27.39,,,正常
江苏省,连云港市,蔷薇河,淮河流域,新浦大桥,2024-11-23 04:00:00,Ⅲ,13.643,7.596,-,5.705,-,3.468,-,0.0551,-,0.1297,1.518,765.519,20.997,,,正常
湖北省,荆州市,四湖总干渠,长江流域,新滩,2024-11-23 04:00:00,Ⅳ,16.789,7.551,-,6.55,-,6.997,-,0.394,-,0.164,4.17,482.125,74.622,,,正常
吉林省,长春市,伊通河,松花江流域,新立城大坝,2024-11-23 04:00:00,Ⅱ,5.225,8.23,-,12.2238,-,2.897759,-,0.0267,-,0.0359,2.106,312.95,4.4788,,,正常
江西省,南昌市,抚河西支,长江流域,新联,2024-11-23 04:00:00,Ⅱ,16.093,7.022,-,7.42,-,2.713,-,0.43,-,0.096,2.793,222.68,20.47,,,正常
河南省,驻马店市,洪河,淮河流域,新蔡李桥,2024-11-23 04:00:00,Ⅲ,16.907,8.126,-,8.885,-,2.707,-,0.641,-,0.1426,3.745,886.729,22.1,,,正常
河南省,驻马店市,洪河,淮河流域,新蔡班台(班台),2024-11-23 04:00:00,Ⅲ,15.243,8.135,-,9.252,-,3.671,-,0.332,-,0.184,4.071,866.524,12.928,,,正常
浙江省,绍兴市,曹娥江,浙闽片河流,曹娥江大闸闸前,2024-11-23 04:00:00,Ⅱ,16.61,7.39,-,7.97,-,2.71,-,0.025,-,0.0609,3.661,297.89,22.12,,,正常
广西壮族自治区,柳州市,融江,珠江流域,木洞,2024-11-23 04:00:00,Ⅰ,21.068,7.71,-,8.783,-,0.635,-,0.025,-,0.007,0.701,92.086,3.39,,,正常
浙江省,嘉兴市,,太湖流域,朱枫公路桥（清凉大桥）,2024-11-23 04:00:00,Ⅱ,16.1,7.48,-,7.04,-,3.473,-,0.088,-,0.049,2.975,508.81,58.09,,,正常
重庆市,永川区,长江,长江流域,朱沱,2024-11-23 04:00:00,Ⅱ,18.7,8.29,-,8.95,-,1.155,-,0.03,-,0.062,1.17,392.87,30.35,,,正常
山东省,济宁市,京杭大运河（梁济运河段）,淮河流域,李集,2024-11-23 04:00:00,Ⅱ,16.155,8.248,-,7.939,-,3.377,-,0.059,-,0.08,2.549,916.689,19.852,,,正常
河南省,平顶山市,,淮河流域,杨寨中村,2024-11-23 04:00:00,Ⅱ,11.95,7.68,-,7.506,-,4.049,-,0.2322,-,0.0801,5.502,780.53,16.77,,,正常
广西壮族自治区,河池市,龙江,珠江流域,杨民,2024-11-23 04:00:00,Ⅱ,23.04,7.55,-,5.976,-,0.678,-,0.051,-,0.018,1.771,334.11,0.745,,,正常
吉林省,长春市,,松花江流域,松花江村,2024-11-23 04:00:00,Ⅱ,5.03,7.48,-,11.98,-,3.496,-,0.0753,-,0.0615,3.168,222.25,21.45,,,正常
江苏省,镇江市,九曲河,太湖流域,林家闸,2024-11-23 04:00:00,Ⅱ,18.567,7.78,-,8.06,-,1.193,-,0.025,-,0.046,1.707,355.097,40.637,,,正常
山东省,潍坊市,白浪河,淮河流域,柳疃桥,2024-11-23 04:00:00,Ⅲ,11.647,8.273,-,10.682,-,4.861,-,0.0298,-,0.1082,8.119,1556.8,10.654,,,正常
江苏省,连云港市,柴米河,淮河流域,柴米河桥,2024-11-23 04:00:00,Ⅳ,15.25,7.579,-,3.952,-,3.624,-,0.5183,-,0.1292,2.498,771.5,35.42,,,正常
内蒙古自治区,呼伦贝尔市,根河,松花江流域,根河口内(大铁桥),2024-11-23 04:00:00,-3,,,-,,-,,-,0.025,-,0.0132,0.1318,,,,,维护
湖南省,邵阳市,资江,长江流域,桂花渡水厂,2024-11-23 04:00:00,Ⅲ,18.73,7.4,-,5.801,-,1.64,-,0.0564,-,0.0478,1.714,267.91,13.83,,,正常
广东省,肇庆市,北江,珠江流域,梁村,2024-11-23 04:00:00,Ⅲ,21.6226,7.08,-,5.536789,-,1.149,-,0.3361,-,0.0614,2.544,225.7733,62.34479,,,正常
上海市,松江区,大泖港,太湖流域,横潦泾,2024-11-23 04:00:00,Ⅲ,16.18,8.49,-,6.148,-,3.173,-,0.1447,-,0.1922,2.866,512.43,80,,,正常
广西壮族自治区,贵港市,浔江,珠江流域,武林渡口,2024-11-23 04:00:00,Ⅱ,24.244,8.01,-,7.623,-,0.715,-,0.025,-,0.03,2.235,328.002,4.853,,,正常
广东省,肇庆市,西江,珠江流域,永安,2024-11-23 04:00:00,Ⅱ,24.346,7.99,-,7.528,-,0.669,-,0.025,-,0.0307,1.81,297.465,15.852,,,正常
福建省,三明市,九龙溪,浙闽片河流,永安安砂水库下游,2024-11-23 04:00:00,Ⅱ,22.275,7.031,-,6.557,-,0.84,-,0.05,-,0.025,1.065,112.458,2.812,,,正常
湖北省,仙桃市,汉江,长江流域,汉南村,2024-11-23 04:00:00,-3,,,-,,-,1.681,-,0.0807,-,0.0418,0.952,,,,,维护
江西省,赣州市,,长江流域,汝城多发电站,2024-11-23 04:00:00,Ⅱ,18.53,6.98,-,8.489,-,1.274,-,0.457,-,0.068,0.833,105.18,33.59,,,正常
江苏省,扬州市,芒稻河,淮河流域,江都西闸,2024-11-23 04:00:00,Ⅱ,16.96,7.66,-,8.015,-,2.268,-,0.0531,-,0.0694,1.453,368.4,49,,,正常
浙江省,嘉兴市,俞汇塘,太湖流域,池家浜水文站,2024-11-23 04:00:00,Ⅱ,16.0765,7.6809,-,7.6975,-,3.062,-,0.0634,-,0.0468,1.561,459.24,17.1223,,,正常
浙江省,绍兴市,曹娥江,浙闽片河流,汤曹汇合口,2024-11-23 04:00:00,Ⅱ,17.94,7.12,-,7.627,-,2.293,-,0.2576,-,0.089,3.465,201.71,24.69,,,正常
广东省,惠州市,沙河,珠江流域,沙河河口(里波水）,2024-11-23 04:00:00,Ⅳ,22.322,6.93,-,3.808,-,3.239,-,1.009,-,0.065,3.687,405.44,9.584,,,正常
江苏省,连云港市,通榆河,淮河流域,沭南闸,2024-11-23 04:00:00,Ⅱ,14.322,7.861,-,9.432,-,2.344,-,0.0619,-,0.0364,0.968,512.9,47.75,,,正常
江苏省,盐城市,泰东河,淮河流域,泰东大桥,2024-11-23 04:00:00,Ⅲ,17.086,7.57,-,7.904,-,1.821,-,0.0808,-,0.1496,1.76,381.056,145.722,,,正常
江苏省,泰州市,新通扬运河,淮河流域,泰西,2024-11-23 04:00:00,Ⅱ,16.82,7.69,-,7.161,-,2.224,-,0.056,-,0.081,1.67,410.479,58.847,,,正常
湖南省,衡阳市,洣水,长江流域,洣水入湘江口,2024-11-23 04:00:00,Ⅱ,18.297,7.81,-,8.081,-,1.519,-,0.0674,-,0.0422,1.277,158.22,28.13,,,正常
广东省,广州市,洪奇沥水道,珠江流域,洪奇沥,2024-11-23 04:00:00,Ⅱ,22.95,8.16,-,6.91,-,1.508,-,0.1329,-,0.061,2.471,9143.783,17.11837,,,正常
广东省,广州市,流溪河,珠江流域,流溪河山庄,2024-11-23 04:00:00,Ⅱ,20.436,6.89,-,7.43,-,1.205,-,0.161,-,0.049,1.398,119.758,30.96,,,正常
上海市,静安区,苏州河,太湖流域,浙江路桥,2024-11-23 04:00:00,Ⅲ,17.526,7.55,-,6.054,-,3.932,-,0.025,-,0.115,1.642,467.836,51.725,,,正常
福建省,南平市,富屯溪,浙闽片河流,浪石,2024-11-23 04:00:00,Ⅱ,21.519,7.028,-,6.536,-,1.342,-,0.165,-,0.035,1.291,156.817,2.962,,,正常
浙江省,衢州市,衢江,浙闽片河流,浮石渡,2024-11-23 04:00:00,Ⅱ,16.55,7.45,-,7.652,-,1.448,-,0.0583,-,0.0365,1.686,207.77,3.03,,,正常
江苏省,连云港市,龙王河,淮河流域,海头大桥,2024-11-23 04:00:00,Ⅲ,13.37,7.794,-,9.357,-,3.816,-,0.1035,-,0.138,4.21,707.34,14.89,,,正常
上海市,青浦区,黄浦江,太湖流域,淀峰,2024-11-23 04:00:00,Ⅱ,15.13,8.34,-,8.938,-,2.358,-,0.175,-,0.0572,1.853,503.26,33.07,,,正常
辽宁省,铁岭市,清河,辽河流域,清辽,2024-11-23 04:00:00,Ⅲ,10.46,7.872,-,10.35,-,2.62,-,0.032,-,0.133,6.471,414.3,16.2,,,正常
广西壮族自治区,柳州市,洛清江,珠江流域,渔村,2024-11-23 04:00:00,Ⅰ,22.174,7.95,-,8.414,-,1.794,-,0.025,-,0.013,1.451,460.227,1.966,,,正常
江西省,九江市,长江,长江流域,湖口,2024-11-23 04:00:00,Ⅱ,18.2726,7.9642,-,8.31,-,1.983,-,0.025,-,0.058,1.824,372.8,23.51,,,正常
浙江省,宁波市,剡江,浙闽片河流,溪口,2024-11-23 04:00:00,-3,15.73,7.1,-,8.692,-,,-,0.025,-,0.033,2.841,112.46,4.56,,,维护
广西壮族自治区,百色市,澄碧河,珠江流域,澄碧河水库,2024-11-23 04:00:00,Ⅰ,24.416,8.4,-,7.726,-,1.038,-,0.025,-,0.005,0.891,223.713,3.426,,,正常
江苏省,连云港市,灌河,淮河流域,灌河大桥,2024-11-23 04:00:00,Ⅲ,14.08,7.923,-,5.69,-,5.227,-,0.2348,-,0.14,2.924,980.79,152.8,,,正常
广西壮族自治区,贵港市,郁江,珠江流域,火电厂,2024-11-23 04:00:00,Ⅱ,24.52,8.28,-,6.58,-,1.265,-,0.025,-,0.041,1.921,301.817,8.873,,,正常
江苏省,连云港市,烧香河,淮河流域,烧香北闸,2024-11-23 04:00:00,Ⅲ,13.789,8.184,-,8.281,-,5.073,-,0.0539,-,0.1431,2.84,2935.48,30.48,,,正常
江苏省,连云港市,五灌河,淮河流域,燕尾闸,2024-11-23 04:00:00,Ⅲ,15.2,8.219,-,7.262,-,5.428,-,0.0663,-,0.0966,2.66,1955.72,22.25,,,正常
浙江省,绍兴市,浙东运河,浙闽片河流,王家泾,2024-11-23 04:00:00,Ⅳ,17.37,6.76,-,4.613,-,2.632,-,0.0927,-,0.0665,2.949,167.03,7.27,,,正常
山东省,滨州市,德惠新河,海河流域,王杠子闸,2024-11-23 04:00:00,Ⅳ,11.572,8.5695,-,13.883,-,6.391,-,0.0525,-,0.0816,1.432,,10.614,,,维护
浙江省,嘉兴市,京杭运河,太湖流域,王江泾,2024-11-23 04:00:00,Ⅱ,17.1,7.152,-,6.45,-,3.06,-,0.119,-,0.097,2.332,528.35,55.06,,,正常
江苏省,盐城市,王港河,淮河流域,王港闸,2024-11-23 04:00:00,Ⅳ,14.27,7.61,-,4.721,-,3.535,-,0.3471,-,0.1359,2.934,1243.7,27.17,,,正常
江苏省,苏州市,吴淞江,太湖流域,瓜泾口西,2024-11-23 04:00:00,Ⅱ,15.192,7.48,-,9.022,-,2.128,-,0.03,-,0.018,0.415,371.351,39.3,,,正常
天津市,津南区,洪泥河,海河流域,生产圈闸,2024-11-23 04:00:00,Ⅱ,12.88,8.06,-,8.73,-,3.82,-,0.296,-,0.038,2.105,984.68,6.09,,,正常
江西省,南昌市,赣江,长江流域,生米,2024-11-23 04:00:00,Ⅱ,18.244,7.068,-,7.725,-,1.921,-,0.0258,-,0.0489,1.545,185.134,8.846,,,正常
贵州省,黔南布依族苗族自治州,樟江,珠江流域,界牌,2024-11-23 04:00:00,Ⅰ,17.937,8.078,-,9.962,-,1.487,-,0.025,-,0.006,0.793,276.267,9.804,,,正常
重庆市,奉节县,长江,长江流域,白帝城,2024-11-23 04:00:00,Ⅱ,21.06,8.035,-,7.056,-,1.725,-,0.025,-,0.0459,1.81,371.204,4.58,,,正常
河南省,平顶山市,白龟山水库,淮河流域,白龟山水库,2024-11-23 04:00:00,Ⅱ,14.87,7.92,-,6.85,-,2.551,-,0.037,-,0.005,0.562,452.44,11.88,0.00998,1521397,正常
湖北省,恩施土家族苗族自治州,酉水,长江流域,百福司镇,2024-11-23 04:00:00,Ⅱ,18.539,7.805,-,7.23,-,0.912,-,0.025,-,0.018,1.701,294.315,10.212,,,正常
安徽省,安庆市,长江,长江流域,皖河口,2024-11-23 04:00:00,Ⅱ,18.259,7.75,-,8.9,-,1.262,-,0.025,-,0.049,2.187,356.416,43.74,,,正常
浙江省,嘉兴市,盐官下河,太湖流域,盐官排涝枢纽,2024-11-23 04:00:00,Ⅳ,17.5777,8.1557,-,4.8319,-,2.599,-,0.0291,-,0.1053,3.908,621.99,39.4355,,,正常
青海省,玉树藏族自治州,通天河,长江流域,直门达,2024-11-23 04:00:00,Ⅱ,1.0425,8.65,-,8.4175,-,0.71,-,0.157,-,0.0282,0.1419,,159.525,,,维护
山东省,济南市,小清河,淮河流域,睦里庄,2024-11-23 04:00:00,Ⅱ,11.453,7.611,-,8.432,-,1.444,-,0.0771,-,0.0418,1.013,829.959,8.592,,,正常
江苏省,南京市,,长江流域,石臼湖省界湖心,2024-11-23 04:00:00,-3,,,-,,-,2.59,-,0.025,-,,,,,,,维护
广西壮族自治区,梧州市,浔江,珠江流域,石良角,2024-11-23 04:00:00,Ⅰ,24.823,7.7,-,7.96,-,0.905,-,0.025,-,0.016,2.213,334.488,11.814,,,正常
广东省,清远市,北江,珠江流域,石角,2024-11-23 04:00:00,Ⅱ,22.7832,7.39,-,7.009119,-,0.931,-,0.025,-,0.0504,1.806,202.1461,11.16182,,,正常
广西壮族自治区,来宾市,柳江,珠江流域,石龙,2024-11-23 04:00:00,Ⅱ,23.865,7.98,-,7.311,-,1.398,-,0.025,-,0.012,1.068,191.427,4.355,,,正常
湖北省,十堰市,神定河,长江流域,神定河口,2024-11-23 04:00:00,Ⅲ,15.043,7.575,-,9.11,-,3.145,-,0.119,-,0.19,11.39,652.074,14.502,,,正常
福建省,宁德市,交溪,浙闽片河流,福安赛岐,2024-11-23 04:00:00,Ⅲ,20.35,7.378,-,6.083,-,2.052,-,0.1825,-,0.1154,1.88,2382.64,147.78,,,正常
山东省,聊城市,,海河流域,秤勾湾(秤钩湾),2024-11-23 04:00:00,-3,,,-,,-,16.7072,-,0.3468,-,0.179,9.9801,,,,,维护
辽宁省,朝阳市,大凌河,辽河流域,章吉营,2024-11-23 04:00:00,Ⅱ,5.49,8.27,-,11.74,-,2.13,-,0.026,-,0.0277,10.982,858.8,5.1,,,正常
山东省,德州市,,海河流域,第三店,2024-11-23 04:00:00,Ⅱ,12.733,8.3401,-,9.644,-,2.3,-,0.0759,-,0.0957,7.053,1564.893,5.095,,,正常
广东省,惠州市,淡水河,珠江流域,紫溪,2024-11-23 04:00:00,劣Ⅴ,20.724,6.82,-,2.648,-,3.267,-,2.043,-,0.188,5.1,304.783,25.659,,,正常
浙江省,嘉兴市,红旗塘,太湖流域,红旗塘大坝,2024-11-23 04:00:00,Ⅲ,16.6973,7.6738,-,6.3198,-,3.746,-,0.1141,-,0.1304,2.716,510.952,47.364,,,正常
山东省,潍坊市,小清河,淮河流域,羊口,2024-11-23 04:00:00,Ⅲ,13.396,7.799,-,7.82,-,3.344,-,0.3248,-,0.1021,8.372,3427.588,12.827,,,正常
辽宁省,本溪市,太子河,辽河流域,老官砬子,2024-11-23 04:00:00,Ⅱ,2.41,7.844,-,14.314,-,1.688,-,0.025,-,0.0207,2.731,321.6,3.6,,,正常
湖北省,襄阳市,北河,长江流域,聂家滩,2024-11-23 04:00:00,-3,14.74,7.69,-,10.728,-,,-,,-,,,375.8864,4.96,,,维护
湖南省,衡阳市,蒸水,长江流域,联江村,2024-11-23 04:00:00,Ⅱ,15.34,7.741,-,9.145,-,1.986,-,0.0348,-,0.0524,1.388,211.15,14.65,,,正常
江西省,宜春市,消江,长江流域,肖江江口,2024-11-23 04:00:00,Ⅱ,17.534,8.953,-,7.181,-,2.05,-,0.145,-,0.054,1.801,373.975,30.58,,,正常
山东省,滨州市,马颊河,海河流域,胜利桥,2024-11-23 04:00:00,Ⅳ,13.885,8.099,-,10.255,-,6.813,-,0.0813,-,0.0278,1.419,3182.13,12.705,,,正常
湖南省,衡阳市,舂陵水,长江流域,舂陵水入湘江口,2024-11-23 04:00:00,Ⅱ,17.8369,7.8072,-,7.7884,-,1.0626,-,0.0328,-,0.0502,1.0262,252.2465,3.6375,,,正常
江苏省,苏州市,胥江,太湖流域,航管站,2024-11-23 04:00:00,Ⅱ,15.31,7.73,-,7.516,-,2.065,-,0.0912,-,0.0158,0.72,389.07,36.47,,,正常
江西省,宜春市,锦江,长江流域,良田村,2024-11-23 04:00:00,Ⅱ,16.83,7.556,-,7.64,-,2.39,-,0.0275,-,0.0716,2.151,273.07,4.52,,,正常
山东省,滨州市,小米河,海河流域,芦家河子水库,2024-11-23 04:00:00,Ⅱ,16.687,8.585,-,10.595,-,2.147,-,0.025,-,0.0125,0.941,934.273,11.591,,,正常
山东省,滨州市,小清河,淮河流域,范李,2024-11-23 04:00:00,Ⅱ,13.305,8.247,-,10.174,-,3.602,-,0.1396,-,0.0803,8.504,1875.213,21.287,,,正常
江苏省,连云港市,范河,淮河流域,范河桥,2024-11-23 04:00:00,Ⅲ,13.85,7.484,-,5.852,-,4.258,-,0.3215,-,0.1289,2.77,999.43,12.33,,,正常
广东省,广州市,珠江广州段,珠江流域,莲花山,2024-11-23 04:00:00,Ⅱ,22.541,7.47,-,6.699,-,2.673,-,0.036,-,0.083,3.45,2299.879,27.983,,,正常
广东省,汕头市,韩江东溪,珠江流域,莲阳桥闸,2024-11-23 04:00:00,Ⅱ,20.775,7.29,-,7.767,-,0.578,-,0.025,-,0.033,1.606,125.39,28.193,,,正常
浙江省,宁波市,,浙闽片河流,菁江渡（浦口闸）,2024-11-23 04:00:00,Ⅱ,17.14,6.992,-,7.155,-,2.437,-,0.1156,-,0.0892,3.079,177.25,22.3,,,正常
辽宁省,辽阳市,,辽河流域,葠窝坝下,2024-11-23 04:00:00,Ⅱ,6.9486,8.032,-,8.5014,-,2.234,-,0.2469,-,0.0183,4.6621,603.7928,15.382,,,正常
江苏省,徐州市,京杭大运河（不牢河段）,淮河流域,蔺家坝,2024-11-23 04:00:00,Ⅲ,14.22,7.735,-,6.034,-,5.515,-,0.2221,-,0.0929,1.429,993.9,44.9,,,正常
广东省,广州市,蕉门水道,珠江流域,蕉门,2024-11-23 04:00:00,Ⅱ,22.283,8.3,-,8.008,-,2.718,-,0.15,-,0.042,2.179,12164.88,16.397,,,正常
广东省,惠州市,淡澳河,珠江流域,虎爪断桥,2024-11-23 04:00:00,Ⅳ,22.032,7.39,-,5.155,-,4.304,-,1.426,-,0.195,5.769,12172.93,25.914,,,正常
安徽省,蚌埠市,淮河,淮河流域,蚌埠闸上(蚌埠闸),2024-11-23 04:00:00,Ⅲ,16.43,8.36,-,7.53,-,3.202,-,0.057,-,0.117,3.083,976.04,12.9,,,正常
江西省,九江市,鄱阳湖,长江流域,蛤蟆石,2024-11-23 04:00:00,Ⅳ,16.08,7.58,-,8.68,-,2.436,-,0.046,-,0.058,2.064,212.04,115.7,0.00143,860492,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2024-11-23 04:00:00,Ⅳ,20.13,7.79,-,4.87,-,1.936,-,0.025,-,0.016,0.78,161.11,0.91,,,正常
江苏省,连云港市,盐河,淮河流域,袁闸,2024-11-23 04:00:00,Ⅱ,15.29,8.01,-,6.113,-,3.846,-,0.1535,-,0.0745,2.404,809.9,43.78,,,正常
辽宁省,锦州市,,辽河流域,西八千,2024-11-23 04:00:00,-3,15.98,,-,10.26,-,,-,0.025,-,,,0.01,,,,维护
河南省,周口市,贾鲁河,淮河流域,西华大王庄,2024-11-23 04:00:00,Ⅲ,14.41,8.33,-,11.473,-,5.654,-,0.4184,-,0.1493,4.606,946.11,74.8,,,正常
山东省,济宁市,东渔河,淮河流域,西姚,2024-11-23 04:00:00,Ⅳ,17.775,7.777,-,3.118,-,6.225,-,0.098,-,0.091,1.305,1080.338,25.445,,,正常
湖北省,黄冈市,蕲水,长江流域,西河驿,2024-11-23 04:00:00,Ⅲ,16.491,7.133,-,9.451,-,2.787,-,0.128,-,0.13,1.66,179.911,77.205,,,正常
山东省,滨州市,小清河,淮河流域,西闸,2024-11-23 04:00:00,Ⅱ,12.749,8.212,-,10.332,-,3.6884,-,0.0943,-,0.089,8.136,1757.973,22.135,,,正常
广东省,梅州市,梅江,珠江流域,西阳电站,2024-11-23 04:00:00,Ⅲ,22.036,6.7,-,5.069,-,1.53,-,0.073,-,0.101,2.007,124.246,16.081,,,正常
广西壮族自治区,来宾市,柳江,珠江流域,象州运江老街,2024-11-23 04:00:00,Ⅱ,22.336,8.32,-,8.121,-,1.047,-,0.041,-,0.023,1.324,240.272,5.524,,,正常
山东省,莱芜市,牟汶河,黄河流域,贺小庄,2024-11-23 04:00:00,Ⅱ,12.977,7.987,-,9.622,-,3.244,-,0.0368,-,0.038,3.403,1111.065,5.872,,,正常
广西壮族自治区,贺州市,贺江,珠江流域,贺街,2024-11-23 04:00:00,Ⅱ,21.18,7.84,-,8.85,-,1.07,-,0.0508,-,0.0409,1.467,195.33,4.277,,,正常
广西壮族自治区,来宾市,红水河,珠江流域,车渡,2024-11-23 04:00:00,Ⅰ,23.656,7.92,-,7.702,-,0.412,-,0.045,-,0.011,2.759,373.005,3.142,,,正常
山东省,济南市,小清河,淮河流域,辛丰庄,2024-11-23 04:00:00,Ⅲ,13.569,7.927,-,9.409,-,3.436,-,0.5676,-,0.1115,9.289,1284.96,15.941,,,正常
湖北省,潜江市,四湖总干渠,长江流域,运粮湖同心队,2024-11-23 04:00:00,Ⅱ,15,7.69,-,7.39,-,2.806,-,0.307,-,0.086,1.925,475.3,14.78,,,正常
福建省,福州市,敖江,浙闽片河流,连江荷山渡口,2024-11-23 04:00:00,劣Ⅴ,19.266,7.51,-,6.337,-,6.16,-,1.3126,-,0.8201,6.84,308.3,768.278,,,正常
广东省,清远市,连江,珠江流域,连江西牛,2024-11-23 04:00:00,-3,22.027,7.72,-,7.505,-,,-,0.025,-,0.043,1.09,238.28,4.953,,,维护
山东省,滨州市,潮河1,海河流域,邵家,2024-11-23 04:00:00,Ⅳ,10.77,8.155,-,12.026,-,8.057,-,0.3032,-,0.0986,5.441,10214.53,14.61,,,正常
